method,comparator,horizon,movies,mean_rmse_delta_comparator_minus_method,delta_ci_low,delta_ci_high,relative_gain_percent,method_better_movies,exact_two_sided_sign_flip_p,confirmatory,hypothesis_id,multiplicity_family,statistical_unit,holm_adjusted_p,reject_at_0_05
v166_h1_strict,gru_track,6,6,1.6274613831671658,1.201098375857011,2.1229727537540874,18.988987722180482,6,0.03125,False,,exploratory,movie,,False
v166_h1_strict,hgbdt_v52,6,6,1.6194504394364937,1.3381466408449147,1.930550155446353,19.19970068656256,6,0.03125,False,,exploratory,movie,,False
v166_h1_strict,kalmannet,6,6,2.0097673496503883,1.6703339007371671,2.2951717052577387,22.926261486569256,6,0.03125,False,,exploratory,movie,,False
v166_h1_strict,position_imm,6,6,2.0402985441253496,1.6828909201355045,2.422766289745409,23.151126172042954,6,0.03125,False,,exploratory,movie,,False
v166_h1_strict,position_kf_ca,6,6,0.4318449524607179,-0.017572646500779793,0.8798036094346154,5.7349313518199025,4,0.21875,False,,exploratory,movie,,False
v166_h1_strict,position_kf_cv,6,6,2.505615793423446,2.1169384522757855,2.9063532162970867,26.96413732951892,6,0.03125,False,,exploratory,movie,,False
v166_h1_strict,v97_no_update,6,6,1.0274020666156507,0.8231798289659334,1.219065377248082,13.280449335117476,6,0.03125,False,,exploratory,movie,,False
v166_h1_strict,v97_seed_mean,6,6,1.1563578738999947,0.949904087710415,1.3524157784733308,14.689960916368278,6,0.03125,False,,exploratory,movie,,False
v166_h1_strict,wolf_imq_ca,6,6,0.6854368873006024,0.30001554573194583,1.0708582288692587,9.061804044584461,6,0.03125,False,,exploratory,movie,,False
v166_h1_strict,wolf_imq_cv,6,6,2.688204370693953,2.290719786141755,3.128637503623636,28.36248632834398,6,0.03125,False,,exploratory,movie,,False
v166_h6_utility,constant_velocity,1,6,0.48374302010202497,0.36253151476996903,0.6083575520777574,11.023039286300502,6,0.03125,False,,exploratory,movie,,False
v166_h6_utility,displacement_kf_ca,1,6,0.6091800016210883,0.5005876002404094,0.720352766338254,13.667853472650286,6,0.03125,False,,exploratory,movie,,False
v166_h6_utility,displacement_kf_cv,1,6,0.21348415633503678,0.128913873761614,0.29813559714951304,5.131542435664453,6,0.03125,False,,exploratory,movie,,False
v166_h6_utility,gru_track,1,6,-0.17975781870751817,-0.2415310589017893,-0.11798457851324702,-5.18605027218467,0,0.03125,False,,exploratory,movie,,False
v166_h6_utility,hgbdt_v52,1,6,-0.31560200962294377,-0.377458593076116,-0.2588060761445627,-9.297313691533054,0,0.03125,False,,exploratory,movie,,False
v166_h6_utility,kalmannet,1,6,0.11829356505272222,0.05033134840892458,0.18234612659963423,2.929309179199763,6,0.03125,False,,exploratory,movie,,False
v166_h6_utility,position_imm,1,6,0.13735686560932892,0.059127281195464475,0.2140910477499387,3.355203419736032,6,0.03125,False,,exploratory,movie,,False
v166_h6_utility,position_kf_ca,1,6,0.7937978388911892,0.6848745919955768,0.9180020292071575,17.163660435163724,6,0.03125,False,,exploratory,movie,,False
v166_h6_utility,position_kf_cv,1,6,0.17637402634286983,0.10155239709868313,0.2564378431499224,4.316900782120281,6,0.03125,False,,exploratory,movie,,False
v166_h6_utility,v97_no_update,1,6,-0.32495122493370815,-0.3869368586959367,-0.264073634360525,-9.532741053158263,0,0.03125,False,,exploratory,movie,,False
v166_h6_utility,v97_seed_mean,1,6,-0.3090436708218776,-0.3711942252168618,-0.2482912823476937,-9.03173990272064,0,0.03125,False,,exploratory,movie,,False
v166_h6_utility,wolf_imq_ca,1,6,0.789022553170364,0.6878654571462469,0.8972474586030065,17.089666695395696,6,0.03125,False,,exploratory,movie,,False
v166_h6_utility,wolf_imq_cv,1,6,0.15081289232238224,0.07978807895038798,0.22808624170403533,3.7009505160067504,6,0.03125,False,,exploratory,movie,,False
v166_h6_utility,constant_velocity,2,6,0.6684244482788463,0.6209902561364994,0.7244331919242372,13.812544959976067,6,0.03125,False,,exploratory,movie,,False
v166_h6_utility,displacement_kf_ca,2,6,1.945781788137855,1.8446919991688955,2.0683977308585875,31.835750038931312,6,0.03125,False,,exploratory,movie,,False
v166_h6_utility,displacement_kf_cv,2,6,1.133258661535682,1.0360703898404502,1.243627484406013,21.375302577198767,6,0.03125,False,,exploratory,movie,,False
