operating_point,condition,horizon,movies,component_rmse_mean,component_rmse_std,vector_rmse_mean,r2_mean,rmse_improvement_percent_mean,movies_improved,source_path,source_sha256
h1_strict,update_every_1,6,6,6.7846380047434645,0.8353324822226045,9.594927082100144,0.9050428519157294,13.280449335117476,6,/Users/dmitrijabovskij/Desktop/Airi/outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_stress_aggregate.csv,48be8e0ccb9806b3490e2d34d1f0766291094ab3f7a3814f3d073dd82bf1e1bf
h1_strict,tracking_noise_0.5px,6,6,6.796238250354556,0.8226581664780542,9.611332306770208,0.9047160863418938,13.116568485162295,6,/Users/dmitrijabovskij/Desktop/Airi/outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_stress_aggregate.csv,48be8e0ccb9806b3490e2d34d1f0766291094ab3f7a3814f3d073dd82bf1e1bf
h1_strict,tracking_noise_1px,6,6,6.865356309032612,0.7687905677763922,9.709080002757611,0.9027430684864594,12.156027842278789,6,/Users/dmitrijabovskij/Desktop/Airi/outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_stress_aggregate.csv,48be8e0ccb9806b3490e2d34d1f0766291094ab3f7a3814f3d073dd82bf1e1bf
h1_strict,missing_0.1,6,6,6.883375463656685,0.8254194590437607,9.734562935609476,0.9023163010132348,12.00560317163959,6,/Users/dmitrijabovskij/Desktop/Airi/outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_stress_aggregate.csv,48be8e0ccb9806b3490e2d34d1f0766291094ab3f7a3814f3d073dd82bf1e1bf
h1_strict,missing_0.2,6,6,6.9875627197108265,0.8185781516703788,9.88190596614768,0.8994044378912772,10.662399921492268,6,/Users/dmitrijabovskij/Desktop/Airi/outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_stress_aggregate.csv,48be8e0ccb9806b3490e2d34d1f0766291094ab3f7a3814f3d073dd82bf1e1bf
h1_strict,delay_1frame,6,6,7.108213450973497,0.8260857410183203,10.05253186660958,0.8959496216326913,9.112673847039686,6,/Users/dmitrijabovskij/Desktop/Airi/outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_stress_aggregate.csv,48be8e0ccb9806b3490e2d34d1f0766291094ab3f7a3814f3d073dd82bf1e1bf
h1_strict,tracking_noise_2px,6,6,7.163813620272275,0.6138216766379734,10.131162380102152,0.8939797395402094,8.07717323450767,6,/Users/dmitrijabovskij/Desktop/Airi/outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_stress_aggregate.csv,48be8e0ccb9806b3490e2d34d1f0766291094ab3f7a3814f3d073dd82bf1e1bf
h1_strict,missing_0.4,6,6,7.187462667038207,0.7937557507715289,10.164607182775727,0.8936480688402922,8.071539492657042,6,/Users/dmitrijabovskij/Desktop/Airi/outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_stress_aggregate.csv,48be8e0ccb9806b3490e2d34d1f0766291094ab3f7a3814f3d073dd82bf1e1bf
h1_strict,update_every_2,6,6,7.30568081949433,0.8068886001926168,10.331792897297868,0.8902380184565901,6.563358598309841,6,/Users/dmitrijabovskij/Desktop/Airi/outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_stress_aggregate.csv,48be8e0ccb9806b3490e2d34d1f0766291094ab3f7a3814f3d073dd82bf1e1bf
h1_strict,update_every_3,6,6,7.443473919502455,0.7941383410690356,10.526661768130792,0.8860513935490291,4.781619440428225,6,/Users/dmitrijabovskij/Desktop/Airi/outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_stress_aggregate.csv,48be8e0ccb9806b3490e2d34d1f0766291094ab3f7a3814f3d073dd82bf1e1bf
