objective_name,control,horizon,movies,component_rmse,vector_rmse,r2,gain_vs_v97_percent
h1_strict,stale_time,6,7,5.9324381128592245,8.389734437144567,0.928004123920332,8.693632835145486
h1_strict,v97_no_update,1,7,3.420378932523928,4.837146274830549,0.4899134428720919,0.0
h1_strict,v97_no_update,2,7,4.3704799043987395,6.180791954879766,0.7481035821221542,0.0
h1_strict,v97_no_update,4,7,5.602715480152857,7.923436218149857,0.875297136103634,0.0
h1_strict,v97_no_update,6,7,6.496100228503577,9.18687304568472,0.9137298669609996,0.0
h1_strict,wrong_cell,1,7,3.4215707480676874,4.83883175653638,0.490069722096432,-0.1199639293700654
h1_strict,wrong_cell,2,7,4.478064447151007,6.332939474341729,0.7356289452872812,-2.474992911246068
h1_strict,wrong_cell,4,7,5.744170623582529,8.123484000455532,0.8689646273150168,-2.5476036963562914
h1_strict,wrong_cell,6,7,6.692234374463145,9.464248614945204,0.9084654505390468,-3.0416166635942647
h6_guard10,constant_velocity,1,7,3.9884311513582857,5.640493426842227,0.3062124846780081,-16.59893676867996
h6_guard10,constant_velocity,2,7,4.537854605402277,6.41749552703711,0.7284556636527725,-3.837086053789388
h6_guard10,constant_velocity,4,7,5.502760154346495,7.782078040763079,0.8797342234508998,1.7677793458243347
h6_guard10,constant_velocity,6,7,6.180445456988423,8.74046978678021,0.9219210368698452,4.832443547169775
h6_guard10,imm_cv_ca_turn,1,7,3.7692661884769465,5.33054736393844,0.3809645852948509,-10.258852698786717
h6_guard10,imm_cv_ca_turn,2,7,4.928032550320766,6.969290468479699,0.6799039978199727,-12.793246652929891
h6_guard10,imm_cv_ca_turn,4,7,6.486481052290115,9.173269476224789,0.8329681499535806,-15.811252521110694
h6_guard10,imm_cv_ca_turn,6,7,7.631675543784056,10.792819057650478,0.8809993794220234,-17.51866987741915
h6_guard10,kalman_ca,1,7,4.201152536187616,5.941326894274652,0.230848251314841,-22.88517836489672
h6_guard10,kalman_ca,2,7,5.538481218848481,7.83259525464419,0.5955996248727703,-26.758188962572607
h6_guard10,kalman_ca,4,7,6.676050236108632,9.441360786988932,0.8229894041302711,-19.190893049333663
