split,source_groups,target_group,variant,control,validation_rmse,alpha,threshold,innovation_rmse,displacement_rmse,displacement_r2,angular_cosine,magnitude_ratio,gain_vs_cv_percent
untreated_to_treated,15,cn03_5_8/island06,boundary_pde,real,0.18068541301419772,100.0,0.01,0.09400247505058631,0.09400247482516413,0.021547867825713718,0.5814766833714706,0.9394180203373373,8.509222599095176
untreated_to_treated,15,cn03_5_8/island06,mechanics_source_pde,real,0.1814754266914585,0.01,0.0,0.09509683033586602,0.09509683011418031,-0.0013665739975727842,0.5695027919311344,0.9545921282596834,7.444107916411532
untreated_to_treated,15,cn03_5_8/island06,mechanics_source_pde,time_shuffled,0.1815345289285738,0.01,0.0,0.09470032596845242,0.09470032574745686,0.0069663742320561495,0.5775030011291188,0.9417106668341324,7.830017891886675
untreated_to_treated,15,cn03_5_8/island06,mechanics_source_pde,spatial_shifted,0.18156819395640864,100.0,0.0,0.0945394216133617,0.09453942139424784,0.010338013955821235,0.5805572191787265,0.9355543433659678,7.986622964143159
untreated_to_treated,15,cn03_5_8/island06,mechanics_source_pde,wrong_island,0.1815688976523928,100.0,0.01,0.09453847058168202,0.09453847036243887,0.010357925126863177,0.5802743331254049,0.935458256748875,7.987548584874928
untreated_to_treated,15,cn03_5_8/island07,relaxation,real,0.18218653735308635,100.0,0.0,0.0800863706127587,0.08008637058113582,0.3138858448882491,0.6349800896929124,0.9646210971202337,7.987055094732973
untreated_to_treated,15,cn03_5_8/island07,helmholtz_pde,real,0.18156762192286355,100.0,0.0,0.0798431564892377,0.0798431564648188,0.31804683405873935,0.6321008055879902,0.9650922640578763,8.266488997436664
untreated_to_treated,15,cn03_5_8/island07,boundary_pde,real,0.18068541301419772,100.0,0.01,0.07976560833202186,0.07976560830301649,0.3193708932451109,0.6328155525231183,0.9673541919743481,8.355585739961567
untreated_to_treated,15,cn03_5_8/island07,mechanics_source_pde,real,0.1814754266914585,0.01,0.0,0.0801581714874818,0.08015817146505058,0.312655031557149,0.6300132956690138,0.9782435357086384,7.90456152275739
untreated_to_treated,15,cn03_5_8/island07,mechanics_source_pde,time_shuffled,0.1815345289285738,0.01,0.0,0.07993218671054467,0.07993218668704505,0.3165251434131571,0.6329945184823564,0.970632856947705,8.164200269989495
untreated_to_treated,15,cn03_5_8/island07,mechanics_source_pde,spatial_shifted,0.18156819395640864,100.0,0.0,0.0798437240058361,0.0798437239814341,0.31803713952397616,0.6321825807731183,0.9652165904045049,8.265836965453227
untreated_to_treated,15,cn03_5_8/island07,mechanics_source_pde,wrong_island,0.1815688976523928,100.0,0.01,0.07984621352064725,0.07984621349611165,0.3179946118728615,0.6321733722904769,0.9651255764908176,8.262976708767805
untreated_to_treated,15,cn03_5_8/island08,relaxation,real,0.18218653735308635,100.0,0.0,0.08623995279618828,0.08623995280948472,0.04748544888115047,0.5104146579400176,0.9411578285704317,9.360758030757568
untreated_to_treated,15,cn03_5_8/island08,helmholtz_pde,real,0.18156762192286355,100.0,0.0,0.0861352325954094,0.08613523261395736,0.04979729961051216,0.5076382824986119,0.9431057860469925,9.470820233162055
untreated_to_treated,15,cn03_5_8/island08,boundary_pde,real,0.18068541301419772,100.0,0.01,0.08527351212162625,0.08527351211733522,0.06871437506273226,0.5081305224806786,0.9457032706755467,10.376498982496898
untreated_to_treated,15,cn03_5_8/island08,mechanics_source_pde,real,0.1814754266914585,0.01,0.0,0.08656421442021436,0.0865642144395215,0.040309086325072796,0.4990564705248752,0.9626004533256788,9.019955103706195
untreated_to_treated,15,cn03_5_8/island08,mechanics_source_pde,time_shuffled,0.1815345289285738,0.01,0.0,0.08627557770963853,0.08627557772633941,0.04669833665914547,0.5057383538572016,0.9500838117240953,9.32331580875103
untreated_to_treated,15,cn03_5_8/island08,mechanics_source_pde,spatial_shifted,0.18156819395640864,100.0,0.0,0.0861369401902709,0.08613694020873451,0.049759624498889043,0.5075094009370964,0.9431453585248352,9.469025530229723
untreated_to_treated,15,cn03_5_8/island08,mechanics_source_pde,wrong_island,0.1815688976523928,100.0,0.01,0.08613679391149218,0.08613679393009217,0.04976285191220697,0.5075860807832171,0.9430884309121526,9.469179270866467
untreated_to_treated,15,cytod/island04,relaxation,real,0.18218653735308635,100.0,0.0,0.08310443962903302,0.08310443936692262,-0.41484902280100555,0.2682228082995768,0.8901056436388431,11.025929225199919
untreated_to_treated,15,cytod/island04,helmholtz_pde,real,0.18156762192286355,100.0,0.0,0.08247266329776849,0.08247266306182177,-0.3934188702336021,0.25340929266795204,0.8945109228886405,11.702327623553812
untreated_to_treated,15,cytod/island04,boundary_pde,real,0.18068541301419772,100.0,0.01,0.08188659303834893,0.08188659290837065,-0.37368531105001535,0.24713056351250015,0.9035009396689556,12.329791664095945
untreated_to_treated,15,cytod/island04,mechanics_source_pde,real,0.1814754266914585,0.01,0.0,0.08248305615733428,0.0824830559217504,-0.39377007799283636,0.25375868920275774,0.8960790035065425,11.691200720323534
untreated_to_treated,15,cytod/island04,mechanics_source_pde,time_shuffled,0.1815345289285738,0.01,0.0,0.08247372087285097,0.08247372063715276,-0.39345460704181745,0.25331330789369444,0.8951172976947132,11.701195352124438
untreated_to_treated,15,cytod/island04,mechanics_source_pde,spatial_shifted,0.18156819395640864,100.0,0.0,0.08247211391828425,0.08247211368236229,-0.39340030618758615,0.2534256072945841,0.8945403254178591,11.702915805452184
untreated_to_treated,15,cytod/island04,mechanics_source_pde,wrong_island,0.1815688976523928,100.0,0.01,0.0824719492024124,0.0824719489664795,-0.39339474030787036,0.25342145474762395,0.8945032058532068,11.703092155148124
untreated_to_treated,15,cytod/island05,relaxation,real,0.18218653735308635,100.0,0.0,0.0941586080570849,0.09415860712376815,-0.296604527223314,0.42087824530496604,0.9178356141815003,9.548070938106813
untreated_to_treated,15,cytod/island05,helmholtz_pde,real,0.18156762192286355,100.0,0.0,0.09326754228162422,0.09326754136543156,-0.2721799295547527,0.4156599829908013,0.921680340360361,10.404058714737792
untreated_to_treated,15,cytod/island05,boundary_pde,real,0.18068541301419772,100.0,0.01,0.09239910811642325,0.09239910718960466,-0.24859914301299257,0.4145152004437887,0.9237289799977021,11.238305831027063
untreated_to_treated,15,cytod/island05,mechanics_source_pde,real,0.1814754266914585,0.01,0.0,0.09328255116053957,0.09328255024497321,-0.272589408165824,0.41512581848893565,0.9241669121775221,10.389640679583383
untreated_to_treated,15,cytod/island05,mechanics_source_pde,time_shuffled,0.1815345289285738,0.01,0.0,0.09327537412811374,0.09327537321204679,-0.2723935930920738,0.41551087961465916,0.9227648574044972,10.396535179119493
untreated_to_treated,15,cytod/island05,mechanics_source_pde,spatial_shifted,0.18156819395640864,100.0,0.0,0.09326789707140372,0.09326789615522253,-0.2721896083198012,0.4156355493885536,0.9216881674513017,10.403717891716026
untreated_to_treated,15,cytod/island05,mechanics_source_pde,wrong_island,0.1815688976523928,100.0,0.01,0.09326784845992087,0.09326784754371395,-0.2721882821820305,0.41570993451560706,0.9216724147557864,10.403764589568299
untreated_to_treated,15,cytod/island06,relaxation,real,0.18218653735308635,100.0,0.0,0.06544249185301068,0.06544249155292568,-0.3440001756666058,0.32476913781785155,0.8961622656836219,9.555680805940277
untreated_to_treated,15,cytod/island06,helmholtz_pde,real,0.18156762192286355,100.0,0.0,0.0650826985213731,0.06508269824255757,-0.3292625645721281,0.3217237665833524,0.8975905036757047,10.052930532144606
untreated_to_treated,15,cytod/island06,boundary_pde,real,0.18068541301419772,100.0,0.01,0.06489260833962464,0.06489260808206666,-0.3215090222595469,0.3239319704036015,0.9025024824377319,10.315643255073025
untreated_to_treated,15,cytod/island06,mechanics_source_pde,real,0.1814754266914585,0.01,0.0,0.06510791907110096,0.06510791879286118,-0.33029298371447546,0.3235839720956599,0.9019188128725969,10.018074654139637
untreated_to_treated,15,cytod/island06,mechanics_source_pde,time_shuffled,0.1815345289285738,0.01,0.0,0.06508507951824678,0.0650850792394882,-0.32935982630422034,0.3226517293306111,0.8995432105244743,10.049639892664292
untreated_to_treated,15,cytod/island06,mechanics_source_pde,spatial_shifted,0.18156819395640864,100.0,0.0,0.06508219399348478,0.06508219371463511,-0.32924195548557433,0.3217084014412007,0.8976189841570832,10.05362781128814
untreated_to_treated,15,cytod/island06,mechanics_source_pde,wrong_island,0.1815688976523928,100.0,0.01,0.0650815974199534,0.06508159714117795,-0.3292175867054492,0.32175309357285886,0.8975945021699371,10.054452301293056
cn03_phase1_to_phase2,4,cn03_5_8/island05,relaxation,real,0.08113438479618051,0.01,0.0,0.08322376465658587,0.08322376413507389,0.06513183707271519,0.5290153381031595,0.913404103518855,10.093663823856591
cn03_phase1_to_phase2,4,cn03_5_8/island05,helmholtz_pde,real,0.0810086576574064,0.01,0.0,0.08321955905499603,0.08321955852755607,0.0652263194425905,0.5243072947893196,0.9150359844941833,10.098207126689042
cn03_phase1_to_phase2,4,cn03_5_8/island05,boundary_pde,real,0.08068224974895767,0.01,0.0,0.0831181767141683,0.08311817622402558,0.06750250989997142,0.5240224482991477,0.9180222208253433,10.207730068342226
cn03_phase1_to_phase2,4,cn03_5_8/island05,mechanics_source_pde,real,0.08107147109768344,100.0,0.03,0.08323161910585511,0.08323161857823241,0.06495536787733047,0.5251296023776507,0.9170260956936711,10.085178696868814
cn03_phase1_to_phase2,4,cn03_5_8/island05,mechanics_source_pde,time_shuffled,0.0810169564463008,10.0,0.0,0.08322030704689991,0.08322030651944572,0.065209515549699,0.5243545369757994,0.915166821225449,10.097399073712987
cn03_phase1_to_phase2,4,cn03_5_8/island05,mechanics_source_pde,spatial_shifted,0.08100918098903523,10.0,0.0,0.08321911502334065,0.08321911449576776,0.06523629469670267,0.5246028918989211,0.9152471767768371,10.098686812649508
cn03_phase1_to_phase2,4,cn03_5_8/island05,mechanics_source_pde,wrong_island,0.08099606221068784,0.01,0.01,0.08322673760445089,0.08322673707710823,0.065065044648012,0.5241800989359374,0.9153018932276166,10.090452165158505
cn03_phase1_to_phase2,4,cn03_5_8/island06,relaxation,real,0.08113438479618051,0.01,0.0,0.09453822187277194,0.09453822166256573,0.010363131970887562,0.5770750821122055,0.9299114762765025,7.9877906396163105
cn03_phase1_to_phase2,4,cn03_5_8/island06,helmholtz_pde,real,0.0810086576574064,0.01,0.0,0.09428866857054508,0.09428866835522107,0.015580940991502534,0.5776306861080774,0.9304397526129111,8.23067601188332
cn03_phase1_to_phase2,4,cn03_5_8/island06,boundary_pde,real,0.08068224974895767,0.01,0.0,0.09428767499665908,0.09428767477887319,0.015601687712335832,0.5808690136241386,0.9336201904498914,8.231643040385956
cn03_phase1_to_phase2,4,cn03_5_8/island06,mechanics_source_pde,real,0.08107147109768344,100.0,0.03,0.09430973383270447,0.09430973361682932,0.015141028925103495,0.5784692511072331,0.9316344197393961,8.210173603151244
cn03_phase1_to_phase2,4,cn03_5_8/island06,mechanics_source_pde,time_shuffled,0.0810169564463008,10.0,0.0,0.09428854632663342,0.09428854611121029,0.015583493562413842,0.5777740658361676,0.9305211606453027,8.230794989597461
cn03_phase1_to_phase2,4,cn03_5_8/island06,mechanics_source_pde,spatial_shifted,0.08100918098903523,10.0,0.0,0.09428671118191619,0.09428671096677094,0.015621812721459905,0.5777014717253303,0.930569171000934,8.232581099928193
cn03_phase1_to_phase2,4,cn03_5_8/island06,mechanics_source_pde,wrong_island,0.08099606221068784,0.01,0.01,0.09428506094980628,0.09428506073465102,0.01565627013906057,0.578290933861839,0.9303207913432728,8.234187238700853
cn03_phase1_to_phase2,4,cn03_5_8/island07,relaxation,real,0.08113438479618051,0.01,0.0,0.07987053377952845,0.07987053374348019,0.31757908645080013,0.6341959364156237,0.9622305325621401,8.2350346561443
cn03_phase1_to_phase2,4,cn03_5_8/island07,helmholtz_pde,real,0.0810086576574064,0.01,0.0,0.0797779447364884,0.07977794470744276,0.31916034723665354,0.6327296664515271,0.9623130259599703,8.341412180933148
cn03_phase1_to_phase2,4,cn03_5_8/island07,boundary_pde,real,0.08068224974895767,0.01,0.0,0.0795877384883162,0.07958773845980624,0.32240298727802985,0.6334226675193961,0.9630730402821434,8.559944209010085
cn03_phase1_to_phase2,4,cn03_5_8/island07,mechanics_source_pde,real,0.08107147109768344,100.0,0.03,0.07978796130381344,0.07978796127507766,0.3189893700429013,0.6334337027380492,0.9634784482889486,8.329903932035839
cn03_phase1_to_phase2,4,cn03_5_8/island07,mechanics_source_pde,time_shuffled,0.0810169564463008,10.0,0.0,0.07977831428772772,0.079778314258766,0.3191540395841248,0.6327869662544886,0.9624457569335532,8.340987595509961
cn03_phase1_to_phase2,4,cn03_5_8/island07,mechanics_source_pde,spatial_shifted,0.08100918098903523,10.0,0.0,0.07977833857050357,0.07977833854146094,0.3191536251161726,0.6327532551998358,0.9623863065582708,8.340959696602129
