outer_group,validation_group,variant,control,n_test,validation_rmse,alpha,threshold,innovation_rmse,displacement_rmse,displacement_r2,angular_cosine,magnitude_ratio,gain_vs_cv_percent
high_density/island02,high_density/island03,full_sparse_pde,time_shuffled,3571,0.06017314043693881,0.01,0.0,0.06780919354810222,0.06780919360240843,-0.16620817693533474,0.35687445001751456,0.9045340331265223,9.288862004565926
high_density/island02,high_density/island03,full_sparse_pde,spatial_shifted,3571,0.060173660123031186,0.01,0.0,0.06780899880680215,0.06780899886112927,-0.1662014784764987,0.3569276202500047,0.904474296431499,9.289122517958118
high_density/island02,high_density/island03,full_sparse_pde,wrong_island,3571,0.06017353480595967,0.01,0.0,0.06780883360132822,0.06780883365566324,-0.16619579596747291,0.35688870111312404,0.9044999769401864,9.289343520082321
high_density/island02,high_density/island03,full_sparse_pde,kin_time_shuffled,3571,0.0680030142308728,0.01,0.03,0.07473915448143725,0.07473915451024274,-0.4167567285330218,0.35097993621177576,1.0122387290804782,0.018369217121923978
high_density/island02,high_density/island03,full_sparse_pde,kin_spatial_shifted,3571,0.0656075521533578,1.0,0.01,0.07459066772169001,0.07459066775314457,-0.41113288546305027,0.3492452932411086,0.9943534588202491,0.21700603903434024
high_density/island02,high_density/island03,full_sparse_pde,kin_wrong_island,3571,0.06859926001434212,0.01,0.03,0.07429864635776393,0.07429864638357761,-0.4001053849783025,0.35149261644242913,0.9982936217399774,0.607654995984385
high_density/island03,high_density/island02,cv,real,3316,,,,0.06777830394881651,0.06777830415342787,-0.7108648900525802,0.19912292444125632,1.0081215303428357,0.0
high_density/island03,high_density/island02,persistence,real,3316,,,,0.11529678425661959,0.11529678443280668,-3.950723911712129,0.0745179968458137,2.0200140333225085,-70.10868872111723
high_density/island03,high_density/island02,relaxation,real,3316,0.06825268356600954,0.01,0.0,0.05936606596914535,0.05936606616358939,-0.3125349020244259,0.26758501546210084,0.8229713461638056,12.411402284123144
high_density/island03,high_density/island02,relaxation,kin_time_shuffled,3316,0.07469176906828241,0.01,0.0,0.0679748236257191,0.06797482383003191,-0.7208004009310971,0.19367961327127034,1.013656373380716,-0.28994481207317707
high_density/island03,high_density/island02,relaxation,kin_spatial_shifted,3316,0.07470671936640987,100.0,0.0,0.06666774692636843,0.06666774713217816,-0.6552586883425402,0.21514217995191057,0.9701084331214019,1.6385140276389498
high_density/island03,high_density/island02,relaxation,kin_wrong_island,3316,0.074519921545651,0.01,0.0,0.06815125823573374,0.06815125843657262,-0.7297449702901497,0.18950415211716345,1.0100490922521055,-0.5502561443563211
high_density/island03,high_density/island02,isotropic_pde,real,3316,0.06798774610472148,0.01,0.0,0.0598018474648873,0.059801847658222024,-0.33187516779572745,0.25874888129399465,0.8339933111588334,11.76845097385405
high_density/island03,high_density/island02,helmholtz_pde,real,3316,0.06798855041007222,0.01,0.0,0.059805405742003576,0.05980540593307776,-0.3320336685477696,0.2582949425336228,0.8345373686412337,11.763201100904025
high_density/island03,high_density/island02,helmholtz_pde,kin_time_shuffled,3316,0.07474538102625289,100.0,0.0,0.06792148421166536,0.06792148441673006,-0.7181008581742456,0.19434422787321787,1.0115200152578343,-0.21124792821325103
high_density/island03,high_density/island02,helmholtz_pde,kin_spatial_shifted,3316,0.0746338866722819,100.0,0.0,0.06576785768923418,0.06576785789755599,-0.6108745152091961,0.2319049882563767,0.9451038816606822,2.9662091446267036
high_density/island03,high_density/island02,helmholtz_pde,kin_wrong_island,3316,0.07429401015380686,0.01,0.0,0.06852585328137226,0.06852585347783795,-0.7488123991401527,0.1802415852251839,1.010525571780377,-1.1029330605821526
high_density/island03,high_density/island02,advective_pde,real,3316,0.06782274957498595,0.01,0.0,0.06015949293180021,0.060159493110725396,-0.3478533855518551,0.25390827365512175,0.8462332225163088,11.240781453392486
high_density/island03,high_density/island02,advective_pde,kin_time_shuffled,3316,0.07477379997896033,100.0,0.0,0.06800540025783779,0.06800540046162104,-0.7223488599321173,0.19184989475112857,1.0137377023147032,-0.3350575247192727
high_density/island03,high_density/island02,advective_pde,kin_spatial_shifted,3316,0.07458505488902235,100.0,0.0,0.06561444548956766,0.06561444569847746,-0.6033681258992898,0.23247801690066477,0.9408723304483809,3.1925532542864086
high_density/island03,high_density/island02,advective_pde,kin_wrong_island,3316,0.07426904438285879,0.01,0.03,0.06862322059370339,0.06862322078965533,-0.7537856501280751,0.17897446798732966,1.0127517178513232,-1.2465886344911292
high_density/island03,high_density/island02,boundary_pde,real,3316,0.06782289681470366,0.01,0.0,0.06015953226987437,0.0601595324487986,-0.34785514826526076,0.25390626414243717,0.8462389421994615,11.2407234140631
high_density/island03,high_density/island02,mechanics_source_pde,real,3316,0.06798768843438503,100.0,0.03,0.0598053834486001,0.059805383639713355,-0.33203267547679327,0.2586624421185166,0.8345025297298989,11.763233992497703
high_density/island03,high_density/island02,mechanics_source_pde,time_shuffled,3316,0.06798888193013328,100.0,0.03,0.05980703810842565,0.0598070382994976,-0.33210638427207506,0.2584934804091589,0.8345774292013529,11.760792710136169
high_density/island03,high_density/island02,mechanics_source_pde,spatial_shifted,3316,0.06798783300657552,0.01,0.03,0.059801830674761906,0.059801830868085847,-0.33187441991374156,0.2587135339009771,0.833974309686068,11.76847574599373
high_density/island03,high_density/island02,mechanics_source_pde,wrong_island,3316,0.06798856890133895,0.01,0.0,0.05980522686018866,0.0598052270512661,-0.33202570016311417,0.2583046803043951,0.8345388062564142,11.763465022838774
high_density/island03,high_density/island02,mechanics_source_pde,kin_time_shuffled,3316,0.07474512449927058,100.0,0.0,0.06792089267207252,0.06792089287715253,-0.7180709318486114,0.1943739339936822,1.011497716385175,-0.21037517168014183
