run,method,metric_unit,sequence,family,video,frame_interval_min,reference_diameter_px,horizon,component_rmse,r2,angular_cosine,magnitude_ratio,n_windows
seed42,v97_direct,pixel,6,bronchial_epithelial,set_7,5.0,41.887039673926,1,6.592541217803955,0.27877599000930786,0.5077140927314758,0.8186004757881165,7528
seed42,v97_direct,pixel,6,bronchial_epithelial,set_7,5.0,41.887039673926,2,7.982107639312744,0.662402868270874,0.7293589115142822,0.831471860408783,7238
seed42,v97_direct,pixel,6,bronchial_epithelial,set_7,5.0,41.887039673926,4,9.909222602844238,0.8275744318962097,0.8396892547607422,0.8352664113044739,6700
seed42,v97_direct,pixel,6,bronchial_epithelial,set_7,5.0,41.887039673926,6,11.005002975463867,0.8799303770065308,0.8716908693313599,0.8326864838600159,6221
seed42,v97_direct,pixel,7,embryonic_stem,set_1,20.0,32.321638171543796,1,4.890321731567383,-0.449021577835083,-0.009124577045440674,0.7949169278144836,1001
seed42,v97_direct,pixel,7,embryonic_stem,set_1,20.0,32.321638171543796,2,5.315756797790527,0.2276613712310791,0.4223752021789551,0.8223528265953064,901
seed42,v97_direct,pixel,7,embryonic_stem,set_1,20.0,32.321638171543796,4,5.285189628601074,0.64906907081604,0.6462231874465942,0.8357067108154297,751
seed42,v97_direct,pixel,7,embryonic_stem,set_1,20.0,32.321638171543796,6,5.3168158531188965,0.7802395820617676,0.7462523579597473,0.8370198607444763,611
seed42,v97_direct,pixel,12,embryonic_stem,set_14,30.0,64.830268680384,1,8.745028495788574,-1.0382330417633057,-0.0612713061273098,0.772916853427887,111
seed42,v97_direct,pixel,12,embryonic_stem,set_14,30.0,64.830268680384,2,7.142979621887207,0.0045885443687438965,0.2760371267795563,0.7185932397842407,94
seed42,v97_direct,pixel,12,embryonic_stem,set_14,30.0,64.830268680384,4,7.235605716705322,0.35157257318496704,0.5468226075172424,0.7885051965713501,68
seed42,v97_direct,pixel,12,embryonic_stem,set_14,30.0,64.830268680384,6,7.641270637512207,0.5076948404312134,0.7662497162818909,0.7860774397850037,48
seed42,v97_direct,pixel,17,embryonic_stem,set_19,30.0,64.1867162134092,1,19.050277709960938,-0.854905366897583,-0.07902701199054718,0.750942051410675,160
seed42,v97_direct,pixel,17,embryonic_stem,set_19,30.0,64.1867162134092,2,14.19291877746582,0.29116570949554443,0.39029940962791443,0.7502073645591736,148
seed42,v97_direct,pixel,17,embryonic_stem,set_19,30.0,64.1867162134092,4,16.68876838684082,0.5481013059616089,0.6106612086296082,0.7252147793769836,130
seed42,v97_direct,pixel,17,embryonic_stem,set_19,30.0,64.1867162134092,6,18.740528106689453,0.5693671703338623,0.7030327320098877,0.7225319743156433,114
seed42,v97_direct,pixel,22,embryonic_stem,set_23,30.0,40.1250384084586,1,8.24328327178955,-0.9647958278656006,-0.22021730244159698,0.7475994825363159,152
seed42,v97_direct,pixel,22,embryonic_stem,set_23,30.0,40.1250384084586,2,7.567944526672363,-0.14801371097564697,0.1958337426185608,0.7823999524116516,136
seed42,v97_direct,pixel,22,embryonic_stem,set_23,30.0,40.1250384084586,4,7.441380023956299,0.16540122032165527,0.4506774842739105,0.7762094736099243,106
seed42,v97_direct,pixel,22,embryonic_stem,set_23,30.0,40.1250384084586,6,7.789841175079346,0.3441769480705261,0.618708610534668,0.7947791814804077,86
seed42,v97_direct,pixel,27,embryonic_stem,set_28,15.0,73.2664856575191,1,5.632302761077881,-0.7409993410110474,-0.05459349974989891,0.7129485607147217,208
seed42,v97_direct,pixel,27,embryonic_stem,set_28,15.0,73.2664856575191,2,5.032557010650635,0.13970279693603516,0.42206576466560364,0.7604331374168396,182
seed42,v97_direct,pixel,27,embryonic_stem,set_28,15.0,73.2664856575191,4,4.9246673583984375,0.6083569526672363,0.733654797077179,0.8030368089675903,158
