seed,protocol,packet,model,folds,component_rmse_mean,component_rmse_std,component_r2_mean,direction_cosine_mean,coord_rmse,gain_vs_coord_percent
42,leave_one_sequence_out,coord_contact,ridge,3,11.246991199878174,4.363989187955146,-0.1845095914331217,-0.07167644482792081,11.246234766327035,-0.006726104930726216
42,leave_one_sequence_out,full_row_shuffled,ridge,3,11.25475044640767,4.355685163971626,-0.18731938948696522,-0.09367422535146268,11.246234766327035,-0.0757202766754593
42,leave_one_sequence_out,coord_actin,ridge,3,11.286434605270438,4.194556174871756,-0.21345199243773005,0.044791091122076854,11.246234766327035,-0.35745153625787357
42,leave_one_sequence_out,coord_shape,ridge,3,11.295364464700805,4.381734714999999,-0.1948625352413588,-0.1426621479362771,11.246234766327035,-0.4368546397490477
42,leave_one_sequence_out,coord_reliability,ridge,3,11.300004066367089,4.336409811962272,-0.20103447587625833,-0.16951353657469756,11.246234766327035,-0.4781093508829078
42,leave_one_sequence_out,full_wrong_cell,ridge,3,11.323268555830376,4.427816654826951,-0.19815223370125276,-0.17941942602269342,11.246234766327035,-0.6849740477941304
42,leave_one_sequence_out,full_time_shuffled,ridge,3,11.34454142515395,4.2641044081316215,-0.2217015866102606,-0.09543745507912542,11.246234766327035,-0.8741295275220559
42,leave_one_sequence_out,full_real,ridge,3,11.423966560357433,4.045295496290104,-0.26886988711609483,-0.027681575833641826,11.246234766327035,-1.580367098173647
123,chronological,full_real,hgbdt,1,9.979057896233833,,0.013756743493014034,0.10790406873092313,10.063182695693113,0.8359661351997943
123,chronological,coord_reliability,hgbdt,1,10.013410117386156,,0.006954906889207524,0.08651865430191721,10.063182695693113,0.4946007621252749
123,chronological,coord_shape,hgbdt,1,10.017884055833028,,0.006067334107462852,0.08566759951661904,10.063182695693113,0.4501422783417493
123,chronological,full_wrong_cell,hgbdt,1,10.039404966820266,,0.0017923171085136858,0.0830540319866299,10.063182695693113,0.23628438031860285
123,chronological,full_time_shuffled,hgbdt,1,10.046282928399384,,0.0004241113384153561,0.07405123324025112,10.063182695693113,0.16793660420139525
123,chronological,coord_actin,hgbdt,1,10.047874939142286,,0.00010728537362181267,0.080128813014595,10.063182695693113,0.15211645275384658
123,chronological,coord_contact,hgbdt,1,10.049084017513056,,-0.00013336678399777924,0.06896687030056445,10.063182695693113,0.1401015822369074
123,chronological,coord_only,hgbdt,1,10.063182695693113,,-0.0029416724686990303,0.06102731743275361,10.063182695693113,0.0
123,chronological,full_zero_state,hgbdt,1,10.063182695693113,,-0.0029416724686990303,0.06102731743275361,10.063182695693113,0.0
123,chronological,full_row_shuffled,hgbdt,1,10.077590392319765,,-0.005815598948737399,0.06656456107959943,10.063182695693113,-0.14317236467164635
123,chronological,coord_contact,ridge,1,10.038174625153973,,0.0020369653228452522,0.0688015777704184,10.051735863176447,0.1349143889878181
123,chronological,coord_reliability,ridge,1,10.046516682816591,,0.00037759502998779837,0.07957457333788791,10.051735863176447,0.05192317457301396
123,chronological,full_time_shuffled,ridge,1,10.04918989937109,,-0.00015444264262454155,0.05547142845456367,10.051735863176447,0.025328598363629575
123,chronological,coord_actin,ridge,1,10.050577441111901,,-0.00043065432884392685,0.07600771091891999,10.051735863176447,0.011524597147335239
123,chronological,coord_only,ridge,1,10.051735863176447,,-0.0006612854023311243,0.041012419202138474,10.051735863176447,0.0
123,chronological,full_zero_state,ridge,1,10.051735863176447,,-0.0006612854023311243,0.041012419202138474,10.051735863176447,0.0
123,chronological,full_real,ridge,1,10.052231463151724,,-0.0007599628727488206,0.0717150013183329,10.051735863176447,-0.004930491429773381
123,chronological,full_wrong_cell,ridge,1,10.055655497401338,,-0.0014418452983340213,0.0407869576253384,10.051735863176447,-0.038994600318242076
123,chronological,full_row_shuffled,ridge,1,10.055744748202367,,-0.0014596223360523464,0.05119027964838132,10.051735863176447,-0.039882514627210354
123,chronological,coord_shape,ridge,1,10.059848293920727,,-0.002277139875992207,0.02526638574350181,10.051735863176447,-0.08070676403265846
123,leave_one_sequence_out,coord_shape,hgbdt,3,11.057575954301806,4.948965463488327,-0.07712547293797134,0.020373415355041825,11.062736725883466,0.04665004428412538
123,leave_one_sequence_out,coord_only,hgbdt,3,11.062736725883466,4.906890356382162,-0.08202170000242422,-0.015133783052648044,11.062736725883466,0.0
123,leave_one_sequence_out,full_zero_state,hgbdt,3,11.062736725883466,4.906890356382162,-0.08202170000242422,-0.015133783052648044,11.062736725883466,0.0
123,leave_one_sequence_out,coord_reliability,hgbdt,3,11.064913043571321,4.893881602314418,-0.08375883532482094,0.014116873778618264,11.062736725883466,-0.019672507280799358
123,leave_one_sequence_out,full_real,hgbdt,3,11.072943880920981,4.939160344153853,-0.08190137438815655,0.013342992024258442,11.062736725883466,-0.0922660937382069
123,leave_one_sequence_out,coord_actin,hgbdt,3,11.081897820857442,4.930700345081899,-0.08484351252487794,-0.031808577203500076,11.062736725883466,-0.17320393180056973
123,leave_one_sequence_out,coord_contact,hgbdt,3,11.08275108466889,4.907911421036534,-0.08678166563622718,-0.012508633277825693,11.062736725883466,-0.1809168859509842
123,leave_one_sequence_out,full_row_shuffled,hgbdt,3,11.090968107566846,4.877581788134249,-0.09125032360790675,-0.003178153045845482,11.062736725883466,-0.2551934695989555
123,leave_one_sequence_out,full_wrong_cell,hgbdt,3,11.1025049372056,4.87023237048234,-0.09454528604671271,0.0061290538578663385,11.062736725883466,-0.35947896354694925
123,leave_one_sequence_out,full_time_shuffled,hgbdt,3,11.110021363832383,4.887200407534406,-0.09526784052861854,-0.015290281353426147,11.062736725883466,-0.42742260907542395
123,leave_one_sequence_out,coord_only,ridge,3,11.246234766327035,4.364606064413564,-0.1840734100873176,-0.10958270957201133,11.246234766327035,0.0
123,leave_one_sequence_out,full_zero_state,ridge,3,11.246234766327035,4.364606064413564,-0.18407341008731767,-0.10958270957201192,11.246234766327035,0.0
123,leave_one_sequence_out,coord_contact,ridge,3,11.246991199878174,4.363989187955146,-0.1845095914331217,-0.07167644482792081,11.246234766327035,-0.006726104930726216
123,leave_one_sequence_out,full_row_shuffled,ridge,3,11.272294137421042,4.32449660544881,-0.19547755138845532,-0.09073381402263246,11.246234766327035,-0.23171640673937305
123,leave_one_sequence_out,coord_actin,ridge,3,11.286434605270438,4.194556174871756,-0.21345199243773005,0.044791091122076854,11.246234766327035,-0.35745153625787357
123,leave_one_sequence_out,coord_shape,ridge,3,11.295364464700805,4.381734714999999,-0.1948625352413588,-0.1426621479362771,11.246234766327035,-0.4368546397490477
123,leave_one_sequence_out,coord_reliability,ridge,3,11.300004066367089,4.336409811962272,-0.20103447587625833,-0.16951353657469756,11.246234766327035,-0.4781093508829078
123,leave_one_sequence_out,full_wrong_cell,ridge,3,11.309160940838915,4.371223203204781,-0.20007382829612586,-0.13770740656969002,11.246234766327035,-0.5595310414494489
123,leave_one_sequence_out,full_time_shuffled,ridge,3,11.34454142515395,4.2641044081316215,-0.2217015866102606,-0.09543745507912542,11.246234766327035,-0.8741295275220559
123,leave_one_sequence_out,full_real,ridge,3,11.423966560357433,4.045295496290104,-0.26886988711609483,-0.027681575833641826,11.246234766327035,-1.580367098173647
