outer_group,validation_group,variant,fit_kind,n_test,validation_rmse,alpha,threshold,innovation_rmse,displacement_rmse,displacement_r2,angular_cosine,magnitude_ratio,gain_vs_cv_percent,drift_observed_cosine,drift_shuffled_cosine,first_order_energy_decrease_fraction,shuffled_energy_decrease_fraction,first_order_energy_change_mean,quadratic_r,gradient_k_transverse,gradient_k_longitudinal,quartic_g,boundary_h,bounded_below_effective_functional
cn03_5_8/island05,cn03_5_8/island06,potential_unconstrained,unconstrained,7166,0.09395810610698184,0.01,0.0,0.08332120959388441,0.08332120908785544,0.06294132051982126,0.5221231361525318,0.9244830449972669,9.988394388203243,0.7296181055236624,-0.006580934031423761,0.9053865475858219,0.49860452135082334,-0.029114024531266387,1.2756325395253443,10.395448486778083,4.992456019768257,0.10010205214924325,0.0,True
cn03_5_8/island05,cn03_5_8/island06,potential_constrained,constrained,7166,0.09395810610698183,0.01,0.0,0.08332120959388438,0.08332120908785542,0.0629413205198216,0.5221231361525323,0.9244830449972665,9.98839438820326,0.7296181055236626,-0.006580934031423671,0.9053865475858219,0.49860452135082334,-0.029114024531266387,1.2756325395253478,10.395448486777441,4.992456019768383,0.10010205214924302,0.0,True
cn03_5_8/island05,cn03_5_8/island06,potential_boundary_constrained,constrained,7166,0.09395810469676533,0.01,0.0,0.08332126222572771,0.08332126171970254,0.06294013668811105,0.5221255677619806,0.9244784609722061,9.988337530206152,0.7296187639093754,-0.006579595466173954,0.9053865475858219,0.49860452135082334,-0.029114014777242812,1.2756322468182266,10.395441878327768,4.992414376886724,0.10010236720382423,-4.2780734193057784e-05,True
cn03_5_8/island05,cn03_5_8/island06,advective_unconstrained,unconstrained,7166,0.09389008389518304,0.01,0.0,0.08326845449635832,0.08326845402513493,0.06412754765511319,0.5219845409889153,0.9245429070498913,10.045385494688716,0.7297629345419855,-0.006486058300190575,0.9056656433156572,0.4981858777560703,-0.02903401090300441,1.2747633133935274,10.280485339108138,5.092218039636332,0.09997103942729393,0.0,True
cn03_5_8/island06,cn03_5_8/island08,helmholtz_unconstrained,unconstrained,6487,0.08609220806500827,0.01,0.0,0.09454531299503761,0.09454531277489808,0.010214665260499523,0.5804862908017026,0.934192434181881,7.980888998131544,0.6834334428973362,-0.015293183261762818,0.8826884538307384,0.48789887467242177,-0.03083520675072448,1.3155474256409931,12.56580864491993,6.424296515275614,-0.0,0.0,True
cn03_5_8/island06,cn03_5_8/island08,potential_unconstrained,unconstrained,6487,0.08559904237507257,0.01,0.0,0.09395081875533463,0.0939508185437541,0.02262293125397774,0.5818184295079175,0.9380450790987749,8.559498651429264,0.683834447617545,-0.014949336094363372,0.8831509172190535,0.48897795591182364,-0.03137512313102578,1.27718289664941,10.198628262993882,5.102430925075602,0.10396578168822722,0.0,True
cn03_5_8/island06,cn03_5_8/island08,potential_constrained,constrained,6487,0.08559904237507256,0.01,0.0,0.09395081875533463,0.09395081854375412,0.02262293125397763,0.5818184295079175,0.938045079098775,8.559498651429251,0.683834447617545,-0.014949336094363368,0.8831509172190535,0.48897795591182364,-0.031375123131025785,1.2771828966494096,10.19862826299388,5.102430925075503,0.10396578168822818,0.0,True
cn03_5_8/island06,cn03_5_8/island08,potential_boundary_constrained,constrained,6487,0.08560157756251299,0.01,0.0,0.0939508662090321,0.09395086599745235,0.02262194392531114,0.5818477509996539,0.9380669127594379,8.559452465669246,0.6838418399085374,-0.014949926553365783,0.8831509172190535,0.48928626483736704,-0.03137511287163499,1.277183568587787,10.19862851391165,5.102522256753144,0.10396501493914441,8.234053334399396e-05,True
cn03_5_8/island06,cn03_5_8/island08,advective_unconstrained,unconstrained,6487,0.08515892883321122,0.01,0.0,0.09387765105331142,0.09387765081606239,0.024144676648424346,0.5818053348813957,0.9370950414751895,8.630711375345554,0.6841072830933074,-0.014754508378167495,0.8828426082935101,0.48882380144905196,-0.03149609744489845,1.276330077398935,10.112795392305054,5.150616104672018,0.10435730269745229,0.0,True
cn03_5_8/island07,cn03_5_8/island06,helmholtz_unconstrained,unconstrained,7300,0.09453291014796453,0.01,0.0,0.07981371899234223,0.07981371896686097,0.318549602112454,0.6324225734802565,0.964308620734163,8.30031036876475,0.7001295247163216,0.0013761768209669056,0.9006849315068494,0.5008219178082192,-0.02573941173832396,1.3158770830127986,12.688488971722167,6.318495748435979,-0.0,0.0,True
cn03_5_8/island07,cn03_5_8/island06,potential_unconstrained,unconstrained,7300,0.09393399099736038,0.01,0.0,0.0796898057520681,0.07968980571692251,0.3206639049202985,0.6336344958031884,0.9664737471206537,8.442676953202099,0.7009175481463241,0.0013879225800937454,0.9004109589041096,0.5010958904109589,-0.025827263924935676,1.2778250757911547,10.274444530015156,5.157540650744168,0.1007500522314438,0.0,True
cn03_5_8/island07,cn03_5_8/island06,potential_constrained,constrained,7300,0.09393399099736038,0.01,0.0,0.07968980575206813,0.07968980571692252,0.3206639049202983,0.6336344958031883,0.9664737471206537,8.442676953202085,0.7009175481463241,0.0013879225800937434,0.9004109589041096,0.5010958904109589,-0.02582726392493564,1.2778250757911513,10.274444530015213,5.157540650744355,0.10075005223144433,0.0,True
cn03_5_8/island07,cn03_5_8/island06,potential_boundary_constrained,constrained,7300,0.09393404030914226,0.01,0.0,0.07968980604443053,0.07968980600928527,0.3206638999356566,0.6336334549553634,0.9664767484649627,8.44267661730027,0.700911421013733,0.0013985776105226474,0.9005479452054794,0.5012328767123287,-0.02582725779215157,1.2778253685560963,10.274448758133541,5.15758001198949,0.10074974184995447,4.2344211937197e-05,True
cn03_5_8/island07,cn03_5_8/island06,advective_unconstrained,unconstrained,7300,0.0937942499800709,0.01,0.03,0.07983030786941439,0.07983030784165743,0.3182663006883937,0.6337816470434084,0.9665282885874183,8.281251055530667,0.7007674901756858,0.0015299544728160227,0.9002739726027398,0.5017808219178083,-0.025713418950823977,1.2770702880132512,10.206120437756981,5.269003929048039,0.10029686371852632,0.0,True
cn03_5_8/island08,cn03_5_8/island05,helmholtz_unconstrained,unconstrained,6761,0.08354030823443978,0.01,0.0,0.08607421276924092,0.08607421278911524,0.05114310580605341,0.5078632322115486,0.9417045758146271,9.534952813116082,0.6949178041489283,-0.013357116188089553,0.8938026919094808,0.48735394172459695,-0.033266709762098765,1.3137507225340557,12.978499923523628,6.1043110872363275,-0.0,0.0,True
cn03_5_8/island08,cn03_5_8/island05,potential_unconstrained,unconstrained,6761,0.0833312209086656,0.01,0.0,0.08559855713584917,0.0855985571491755,0.061601106436627195,0.5083773707998146,0.9449582273104203,10.034872690597645,0.6957462533870366,-0.013266099316756843,0.8938026919094808,0.48735394172459695,-0.03350127010636347,1.2771801642571725,10.358483958127527,5.044640864335707,0.09992412295870798,0.0,True
cn03_5_8/island08,cn03_5_8/island05,potential_constrained,constrained,6761,0.0833312209086656,0.01,0.0,0.08559855713584918,0.0855985571491755,0.061601106436627195,0.5083773707998145,0.9449582273104207,10.034872690597645,0.6957462533870366,-0.013266099316756808,0.8938026919094808,0.48735394172459695,-0.03350127010636348,1.2771801642571723,10.358483958127328,5.044640864335978,0.09992412295870912,0.0,True
cn03_5_8/island08,cn03_5_8/island05,potential_boundary_constrained,constrained,6761,0.08333090241819442,0.01,0.0,0.08560068732721315,0.08560068734053289,0.06155440018006342,0.508440687019874,0.9450081567792938,10.032633833506548,0.695703042226136,-0.01325917572483854,0.8940985061381452,0.48735394172459695,-0.033500933681852106,1.2771824644710326,10.358547510451386,5.0450365046221375,0.09992142974709177,0.00036617401829333124,True
cn03_5_8/island08,cn03_5_8/island05,advective_unconstrained,unconstrained,6761,0.08327010745280033,0.01,0.03,0.08512576113893108,0.08512576113034245,0.07193880338645142,0.5084161183324118,0.9432769904432753,10.531787071427287,0.6958596567504273,-0.013529664507245201,0.8933589705664843,0.48691022038160037,-0.03369533581153193,1.2764792231939655,10.39642819121799,5.045597285874816,0.09977319325523633,0.0,True
