objective_name,variant,horizon,movies,component_rmse_mean,component_rmse_std,component_r2_mean,vector_rmse_mean,vector_r2_mean,gain_vs_no_update_percent
lambda_07,lambda_07_wrong_cell,4,6,6.958503824693776,0.6343683628141882,0.8108212365787774,9.840810482706992,0.8122047119243753,-7.558054696106445
lambda_07,lambda_07_wrong_cell,6,6,8.38693740617353,0.7006270205308199,0.8542224231898468,11.860920626584836,0.8555631391264806,-7.526876190604978
lambda_08,lambda_08_real,1,6,3.7375010285079355,0.4080367352424974,0.4290124143244962,5.285624643899314,0.43020562688818864,-7.515339748145913
lambda_08,lambda_08_real,2,6,4.193686392299046,0.4794774551635995,0.7775887574353583,5.930768172328807,0.77886011178673,10.638001104611048
lambda_08,lambda_08_real,4,6,5.031543896571478,0.6576186349753231,0.9007285672722318,7.115677618206952,0.9014677882574981,22.49968826918422
lambda_08,lambda_08_real,6,6,5.685822299293135,0.7695484975425925,0.9324638450402087,8.040967008903726,0.9331540833677289,27.394117346487477
lambda_08,lambda_08_stale_time,1,6,3.7263195909323166,0.42277117403799125,0.43277722478725505,5.269811703233046,0.43454529354745497,-7.169467550264511
lambda_08,lambda_08_stale_time,2,6,5.087817522720958,0.5244127010497299,0.6724945774083486,7.195260543511462,0.674538430380744,-8.586700383851246
lambda_08,lambda_08_stale_time,4,6,5.832349225189772,0.6335521499375064,0.8669845390285985,8.248187374759588,0.8680774371811187,10.019118985541477
lambda_08,lambda_08_stale_time,6,6,6.428477657579596,0.7144335243596945,0.9140865154132983,9.09124028876149,0.9149865808275477,17.797656640440188
lambda_08,lambda_08_wrong_cell,1,6,3.7897447210960364,0.4221189253489999,0.41320531116466647,5.359508382505857,0.414479130714118,-8.986641731193691
lambda_08,lambda_08_wrong_cell,2,6,5.045661946877842,0.5007388109096131,0.6780752743349798,7.135643556424479,0.6798349042045215,-7.698674022837799
lambda_08,lambda_08_wrong_cell,4,6,6.968419551142415,0.6364196346844323,0.8103029107981161,9.85483343753144,0.8116803299153327,-7.712407920684485
lambda_08,lambda_08_wrong_cell,6,6,8.393443525021508,0.7011621333044737,0.8540222818045318,11.870121668098053,0.8553512702866831,-7.612643256618582
lambda_09,lambda_09_real,1,6,3.7922158326639575,0.41127192519324574,0.41162424839985284,5.363003061999348,0.41282839434282287,-9.090364113193191
