objective_name,variant,control,horizon,movies,component_rmse_mean,component_rmse_std,vector_rmse_mean,r2_mean,gain_vs_prior_percent_mean,movies_improved_vs_prior,sign_flip_p
h6_guard10,field4_start,real,4,6,4.923112300452494,0.6493863746508619,6.962332184385723,0.9059450823445637,24.195656758377197,6,0.03125
h6_guard10,field4_start,real,6,6,5.493350994023736,0.7228312201204374,7.76877147862409,0.9378841823316306,29.865062502839717,6,0.03125
h6_guard10,field4_start,stale_time,1,6,3.7703518672027863,0.4165257369038153,5.332082745516904,0.42083579275859845,-8.449521885285177,0,0.03125
h6_guard10,field4_start,stale_time,2,6,5.164731041472328,0.5090694208279275,7.304032684859486,0.6644565210106014,-10.249664770180452,0,0.03125
h6_guard10,field4_start,stale_time,4,6,5.805072876642615,0.6349610565296951,8.209612792712184,0.8693691356880354,10.44050842291381,6,0.03125
h6_guard10,field4_start,stale_time,6,6,6.319992002460975,0.695666736814573,8.937818403969807,0.9179576644614417,19.18246615732613,6,0.03125
h6_guard10,field4_start,wrong_cell,1,6,3.864769350787526,0.43195746629138665,5.465609231327581,0.3906743826910157,-11.131795556058156,0,0.03125
h6_guard10,field4_start,wrong_cell,2,6,5.112439879508898,0.4736076639911166,7.230081814418555,0.6710183936892262,-9.169542006555185,0,0.03125
h6_guard10,field4_start,wrong_cell,4,6,7.050943645638674,0.5870697435952782,9.971540131190606,0.8069777551989694,-9.040898631596306,0,0.03125
h6_guard10,field4_start,wrong_cell,6,6,8.480057471466369,0.6399389404752517,11.992612285851036,0.8521993010687878,-8.76953213578001,0,0.03125
