outer_group,variant,control,term,coefficient_standardized,term_scale,coefficient_physical,validation_rmse,alpha,threshold
cn03_5_8/island05,mechanics_source_pde,kin_time_shuffled,grad_div_u,-0.0017265339086907452,0.0006004488123404243,-2.8754056519173985,0.10275433052691353,100.0,0.0
cn03_5_8/island05,mechanics_source_pde,kin_time_shuffled,traction,0.00042580153348949706,83.85463620758348,5.077853208204477e-06,0.10275433052691353,100.0,0.0
cn03_5_8/island05,mechanics_source_pde,kin_time_shuffled,stress_div,0.00167679849148641,14.757997247207612,0.00011361965064762971,0.10275433052691353,100.0,0.0
cn03_5_8/island05,mechanics_source_pde,kin_time_shuffled,force_balance,-0.0015913515900760203,31.476983695862923,-5.055603819768711e-05,0.10275433052691353,100.0,0.0
cn03_5_8/island05,mechanics_source_pde,kin_spatial_shifted,u_prev,-0.02185887448939759,0.11517366365448374,-0.18979056318789436,0.10287230511536147,100.0,0.0
cn03_5_8/island05,mechanics_source_pde,kin_spatial_shifted,lap_u,-0.013058805030267951,0.0007680091269847472,-17.003450312547265,0.10287230511536147,100.0,0.0
cn03_5_8/island05,mechanics_source_pde,kin_spatial_shifted,grad_div_u,-0.0008102831566742692,0.0006004488123404242,-1.3494625020839905,0.10287230511536147,100.0,0.0
cn03_5_8/island05,mechanics_source_pde,kin_spatial_shifted,traction,0.00039901635593524317,83.85463620758348,4.758429276915255e-06,0.10287230511536147,100.0,0.0
cn03_5_8/island05,mechanics_source_pde,kin_spatial_shifted,stress_div,0.0014866641827474575,14.757997247207612,0.00010073617428196445,0.10287230511536147,100.0,0.0
cn03_5_8/island05,mechanics_source_pde,kin_spatial_shifted,force_balance,-0.0013915237390682068,31.476983695862923,-4.4207658284967666e-05,0.10287230511536147,100.0,0.0
cn03_5_8/island05,mechanics_source_pde,kin_wrong_island,u_prev,-0.014557439929705715,0.11452773359847415,-0.1271084258136377,0.10276295985381323,100.0,0.0
cn03_5_8/island05,mechanics_source_pde,kin_wrong_island,lap_u,-0.010112397339802045,0.0007587044785430253,-13.328506191529724,0.10276295985381323,100.0,0.0
cn03_5_8/island05,mechanics_source_pde,kin_wrong_island,grad_div_u,0.0001631529210724048,0.0005911545945446876,0.27599027830963,0.10276295985381323,100.0,0.0
cn03_5_8/island05,mechanics_source_pde,kin_wrong_island,traction,0.000485885487454579,83.85463620758348,5.794378336479354e-06,0.10276295985381323,100.0,0.0
cn03_5_8/island05,mechanics_source_pde,kin_wrong_island,stress_div,0.0014695852696749575,14.757997247207612,9.957890932341924e-05,0.10276295985381323,100.0,0.0
cn03_5_8/island05,mechanics_source_pde,kin_wrong_island,force_balance,-0.0014787322783540123,31.476983695862923,-4.697820771652796e-05,0.10276295985381323,100.0,0.0
cn03_5_8/island05,full_sparse_pde,real,u_prev,-0.03167114027005113,0.11517366365448377,-0.27498595829219463,0.09391094052373786,1.0,0.03
cn03_5_8/island05,full_sparse_pde,real,lap_u,0.007904033442283156,0.0007680091269847473,10.291587905100677,0.09391094052373786,1.0,0.03
cn03_5_8/island05,full_sparse_pde,real,grad_div_u,0.0030587943819369388,0.0006004488123404242,5.094180085084017,0.09391094052373786,1.0,0.03
cn03_5_8/island05,full_sparse_pde,real,advect_v_u,-0.005432588894750526,0.0026307822877218805,-2.065008921530661,0.09391094052373786,1.0,0.03
cn03_5_8/island05,full_sparse_pde,real,cubic_u,-0.009196674459948085,0.09205513446990414,-0.09990398159653746,0.09391094052373786,1.0,0.03
cn03_5_8/island05,full_sparse_pde,real,traction,0.021742898992270422,83.85463620758348,0.00025929274725425473,0.09391094052373786,1.0,0.03
cn03_5_8/island05,full_sparse_pde,real,stress_div,0.023140730942635704,14.757997247207612,0.0015680129596862612,0.09391094052373786,1.0,0.03
cn03_5_8/island05,full_sparse_pde,real,force_balance,-0.04391970298251731,31.476983695862923,-0.0013952957947584335,0.09391094052373786,1.0,0.03
cn03_5_8/island05,full_sparse_pde,time_shuffled,u_prev,-0.03163342184328466,0.11517366365448377,-0.2746584665239409,0.09390954082300638,100.0,0.03
cn03_5_8/island05,full_sparse_pde,time_shuffled,lap_u,0.007909947538830366,0.0007680091269847473,10.299288460132399,0.09390954082300638,100.0,0.03
