movie,method,neighbor_k,n_rows,n_directed_neighbor_pairs,mean_neighbor_distance_px,error_energy,frame_mean_energy_fraction,neighbor_dot,random_same_frame_dot,neighbor_dot_excess,neighbor_dot_excess_normalized,neighbor_cosine,random_same_frame_cosine,neighbor_cosine_excess,neighbor_component_corr,random_same_frame_component_corr,neighbor_component_corr_excess
3,constant_velocity,8,12799,102392,40.18783629077948,30.868571207879523,0.05983896450486551,6.962623377915531,1.7367454485698324,5.225877929345698,0.16929445467860652,0.2985937127963177,0.12158402631258534,0.17700968648373233,0.2256187789824597,0.05636306169283067,0.16925571728962902
4,constant_velocity,8,13260,106080,38.948317088524206,47.05353929305513,0.3087545265103765,20.43040653258927,14.385120586713112,6.045285945876158,0.12847675300736436,0.4898904187099065,0.3389538150903369,0.15093660361956962,0.43654484897322454,0.30578478109629237,0.13076006787693217
5,constant_velocity,8,14154,113232,38.78926537790726,29.11091688072845,0.06571867327971224,7.100233674629914,1.8223715397857665,5.277862134844147,0.1813018173377464,0.324966997888348,0.12379630750555552,0.20117069038279245,0.24411207269865356,0.06250366907250939,0.18160840362614417
6,constant_velocity,8,12960,103680,39.36705536280909,52.99342514624229,0.28654235842000286,22.838648156842275,15.08320076852004,7.755447388322235,0.1463473509575964,0.5140478225796619,0.35478764823096004,0.15926017434870182,0.4327427694980276,0.284602347407389,0.1481404220906386
1,imm_cv_ca_turn,8,14446,115568,38.43388289074941,31.602345886356275,0.06981224685557567,7.472861137243938,2.1295400944454443,5.343321042798493,0.16907988609495514,0.32536016681290286,0.11565952057753234,0.20970064623537052,0.23704854182017673,0.06740170128666245,0.16964684053351428
2,imm_cv_ca_turn,8,13633,109064,38.84348827850842,24.861424418121448,0.11054467786930332,7.182334989463665,2.6838464866066754,4.49848850285699,0.18094250865119577,0.38188079396364427,0.19032232482034578,0.1915584691432985,0.28690222218774875,0.10729385671853015,0.1796083654692186
3,imm_cv_ca_turn,8,12799,102392,40.18783629077948,28.369750533505414,0.05236046007132957,6.722191752710118,1.3852542516142676,5.33693750109585,0.18812070605953296,0.2961839489218229,0.09411741607579367,0.20206653284602927,0.23809799812003957,0.04870685617437629,0.18939114194566328
4,imm_cv_ca_turn,8,13260,106080,38.948317088524206,40.120018852628235,0.24680037614756128,15.998328475360292,9.812776036359919,6.185552439000373,0.15417620968029935,0.44895454485655223,0.2724857806389071,0.17646876421764512,0.4002812153767049,0.24358511426282514,0.15669610111387977
5,imm_cv_ca_turn,8,14154,113232,38.78926537790726,25.903513487257847,0.05355650304431689,6.537708016354388,1.3039248155192829,5.233783200835106,0.2020491623041657,0.31747519635892735,0.08967248959047659,0.22780270676845077,0.25257973186901544,0.04973858191075028,0.20284114995826516
6,imm_cv_ca_turn,8,12960,103680,39.36705536280909,46.177765340811035,0.2270245933642781,18.2799803591149,10.378569292643723,7.901411066471178,0.1711085629232054,0.46883535810020316,0.27677680662248083,0.19205855147772233,0.39757860926148714,0.22471788059804002,0.17286072866344712
1,kalman_cv,8,14446,115568,38.43388289074941,31.072020899706835,0.07484187031792651,7.8207928148841415,2.2359498378111864,5.584842977072955,0.17973864638864376,0.33735714879559414,0.11494754713365642,0.22240960166193774,0.25220412013798243,0.07187262424976044,0.180331495888222
