objective_name,packet_name,control,horizon,movies,component_rmse_mean,component_rmse_std,vector_rmse_mean,r2_mean,v97_component_rmse_mean,gain_vs_v97_percent_mean,movies_improved_vs_v97,sign_flip_p,bootstrap_mean_delta,bootstrap_ci_low,bootstrap_ci_high,bootstrap_probability_positive
h1_strict,local_only,v97_no_update,6,7,6.496100228503578,0.2160690211475596,9.18687304568472,0.9137298669609993,6.496100228503578,0.0,0,1.0,0.0,0.0,0.0,0.0
h1_strict,local_only,wrong_cell,1,7,3.3838956959901787,0.19078951924352827,4.785551186925254,0.5012032511904886,3.420378932523928,1.0021148988854747,5,0.171875,0.03664436146772659,0.0016069537623451297,0.07740773028063698,0.98085
h1_strict,local_only,wrong_cell,2,7,4.4102628489605324,0.1871176803336843,6.23705353463019,0.7435519227027614,4.3704799043987395,-0.915341753102439,0,0.015625,-0.0397929772061274,-0.05032738386458936,-0.028650426595861773,0.0
h1_strict,local_only,wrong_cell,4,7,5.635631132546284,0.15653185233743774,7.969985980179,0.8738570389630421,5.602715480152857,-0.603751534795296,1,0.046875,-0.03290610341599932,-0.0556262757687633,-0.007710033160634878,0.00655
h1_strict,local_only,wrong_cell,6,7,6.549025191207434,0.18474537880647296,9.261720245728606,0.9123329908419388,6.496100228503578,-0.8297769802580746,0,0.015625,-0.05280893264487409,-0.07932262016934873,-0.027725612139466196,0.0
h1_strict,own_local,constant_velocity,1,7,3.9884311513582857,0.27265862938983904,5.640493426842227,0.3062124846780082,3.420378932523928,-16.598936768679966,0,0.015625,-0.5681429892383781,-0.6025861483521656,-0.5356305704511675,0.0
h1_strict,own_local,constant_velocity,2,7,4.537854605402276,0.19000045528004286,6.417495527037111,0.7284556636527725,4.3704799043987395,-3.837086053789388,0,0.015625,-0.1673849651623265,-0.1784753626869924,-0.15774916984045553,0.0
h1_strict,own_local,constant_velocity,4,7,5.502760154346495,0.15424644338569465,7.782078040763079,0.8797342234508998,5.602715480152857,1.7677793458243343,7,0.015625,0.0999083027088211,0.0687173289388392,0.1333839769798956,1.0
h1_strict,own_local,constant_velocity,6,7,6.180445456988423,0.1521858397849435,8.740469786780208,0.9219210368698452,6.496100228503578,4.832443547169776,7,0.015625,0.3160101208835398,0.25985671241902775,0.37955407940442754,1.0
h1_strict,own_local,imm_cv_ca_turn,1,7,3.7692661884769456,0.21906751188674156,5.33054736393844,0.38096458529485094,3.420378932523928,-10.258852698786717,0,0.015625,-0.34878760320797747,-0.37101145074415826,-0.32214696011810445,0.0
