movie,representation,detrend,control,control_repeat,lag,geometry,metric,unit,first_value,e_folding,first_zero,integral_positive,exponential_xi,exponential_amplitude,exponential_rmse,n_points
13,gaussian_score,affine,wrong_movie,0,6,start,vector_correlation,px,-0.004619381350393171,,,,40.55985895601852,0.22262388097815056,0.0009059653376629684,8
13,gaussian_score,affine,wrong_movie,0,6,start,direction_correlation,nearest_neighbour,-0.005368738774867469,,,,0.5105273416936087,0.20124467766036377,0.00045050607491045066,8
13,gaussian_score,affine,wrong_movie,0,6,start,direction_correlation,px,-0.005368738774867469,,,,40.62205669236985,0.2011560925280868,0.0004505025064748425,8
13,gaussian_score,affine,wrong_movie,1,0,current,vector_correlation,nearest_neighbour,-0.003950268015677809,,,,,,,8
13,gaussian_score,affine,wrong_movie,1,0,current,vector_correlation,px,-0.003950268015677809,,,,,,,8
13,gaussian_score,affine,wrong_movie,1,0,current,direction_correlation,nearest_neighbour,0.0030389861480312626,0.800539684258357,0.8580309701731685,3.3665447792794416,8.405945544727908,0.0030665303606604135,0.0009501776966257797,8
13,gaussian_score,affine,wrong_movie,1,0,current,direction_correlation,px,0.0030389861480312626,63.63836727998656,68.20640356452886,267.5735044726961,668.1250448244085,0.003066551200552648,0.0009501798069212783,8
13,gaussian_score,affine,wrong_movie,1,1,endpoint,vector_correlation,nearest_neighbour,-0.014622467626011238,,,,12.63182567771448,0.0028212134571256914,0.001061817237066283,8
13,gaussian_score,affine,wrong_movie,1,1,endpoint,vector_correlation,px,-0.014622467626011238,,,,1003.7683148809328,0.002821161096020975,0.001061822931874488,8
13,gaussian_score,affine,wrong_movie,1,1,endpoint,direction_correlation,nearest_neighbour,-0.005411806735458409,,,,,,,8
13,gaussian_score,affine,wrong_movie,1,1,endpoint,direction_correlation,px,-0.005411806735458409,,,,,,,8
13,gaussian_score,affine,wrong_movie,1,1,start,vector_correlation,nearest_neighbour,-0.01209974096922025,,,,8.453755033218634,0.004758234246606338,0.0010886922056412831,8
13,gaussian_score,affine,wrong_movie,1,1,start,vector_correlation,px,-0.01209974096922025,,,,671.7627336987305,0.004758081789536579,0.0010887051624925924,8
13,gaussian_score,affine,wrong_movie,1,1,start,direction_correlation,nearest_neighbour,-0.005666482187945318,,,,,,,8
13,gaussian_score,affine,wrong_movie,1,1,start,direction_correlation,px,-0.005666482187945318,,,,,,,8
13,gaussian_score,affine,wrong_movie,1,2,endpoint,vector_correlation,nearest_neighbour,-0.0015863307043562334,,,,2.9652630073394772,0.004970372024356576,0.000522473035950845,8
13,gaussian_score,affine,wrong_movie,1,2,endpoint,vector_correlation,px,-0.0015863307043562334,,,,235.59078702916662,0.004970340145775969,0.0005224723799846607,8
13,gaussian_score,affine,wrong_movie,1,2,endpoint,direction_correlation,nearest_neighbour,-0.0019265745422561125,,,,35.37401671326828,0.0013455495357527578,0.00016531863332098,8
13,gaussian_score,affine,wrong_movie,1,2,endpoint,direction_correlation,px,-0.0019265745422561125,,,,2810.468652564642,0.0013455490138408318,0.00016531852480571786,8
13,gaussian_score,affine,wrong_movie,1,2,start,vector_correlation,nearest_neighbour,-0.0011802415928490449,,,,2.764435046458508,0.0067678276155166295,0.0003620644251778559,8
13,gaussian_score,affine,wrong_movie,1,2,start,vector_correlation,px,-0.0011802415928490449,,,,219.6330842031676,0.006767909252532982,0.0003620649973328702,8
13,gaussian_score,affine,wrong_movie,1,2,start,direction_correlation,nearest_neighbour,-0.0033255124799773266,,,,3.1352266652338217,0.004789620607708464,0.0006189804612742129,8
13,gaussian_score,affine,wrong_movie,1,2,start,direction_correlation,px,-0.0033255124799773266,,,,249.09213199510376,0.004789673031006908,0.000618981053167456,8
13,gaussian_score,affine,wrong_movie,1,3,endpoint,vector_correlation,nearest_neighbour,0.025293039509520207,1.150309468806294,2.2136006544984266,0.6102595546637507,0.4859927380175421,0.10506306032020025,0.002087079259416408,8
13,gaussian_score,affine,wrong_movie,1,3,endpoint,vector_correlation,px,0.025293039509520207,91.37658732699039,175.8241173101209,48.462327835406164,38.58867091524551,0.10517064529986483,0.0020874436326363452,8
13,gaussian_score,affine,wrong_movie,1,3,endpoint,direction_correlation,nearest_neighbour,0.01696881324337341,1.1184189216067308,1.9732885619159848,0.49349486696105693,0.3119652076489142,0.15943512302693705,0.0005840200561770933,8
13,gaussian_score,affine,wrong_movie,1,3,endpoint,direction_correlation,px,0.01696881324337341,88.84438429762346,156.739749806611,39.189553052266895,24.770737839427273,0.15968719463095823,0.000584108620145488,8
13,gaussian_score,affine,wrong_movie,1,3,start,vector_correlation,nearest_neighbour,0.026268231728062412,1.181195898649634,2.174286268712927,0.649209612717718,0.5740335042134372,0.08670799006872734,0.0020195142293984152,8
13,gaussian_score,affine,wrong_movie,1,3,start,vector_correlation,px,0.026268231728062412,93.83084840742228,172.70146765906293,51.55404285850975,45.57926888496494,0.08678940642614971,0.002019989279667022,8
13,gaussian_score,affine,wrong_movie,1,3,start,direction_correlation,nearest_neighbour,0.0171175800245191,1.1162582887976398,2.0218474830792714,0.5593166044320154,0.3333161328296806,0.1378262196604182,0.000861927229395062,8
13,gaussian_score,affine,wrong_movie,1,3,start,direction_correlation,px,0.0171175800245191,88.67483850945379,160.596162558116,44.41623167276437,26.465698143437724,0.1380516889292348,0.0008620678950961031,8
13,gaussian_score,affine,wrong_movie,1,4,endpoint,vector_correlation,nearest_neighbour,-0.009662839547260018,,,,,,,8
13,gaussian_score,affine,wrong_movie,1,4,endpoint,vector_correlation,px,-0.009662839547260018,,,,,,,8
13,gaussian_score,affine,wrong_movie,1,4,endpoint,direction_correlation,nearest_neighbour,-0.009046535895822794,,,,9.461423503980106,0.004226222382010642,0.001272520188821398,8
13,gaussian_score,affine,wrong_movie,1,4,endpoint,direction_correlation,px,-0.009046535895822794,,,,751.5403017492599,0.004226243380930873,0.0012725212890696978,8
13,gaussian_score,affine,wrong_movie,1,4,start,vector_correlation,nearest_neighbour,-0.009247486630631683,,,,14.695518268723331,0.0015260182639228726,0.0011785303691792138,8
13,gaussian_score,affine,wrong_movie,1,4,start,vector_correlation,px,-0.009247486630631683,,,,1167.3123751507894,0.0015260182743874018,0.0011785308155058277,8
13,gaussian_score,affine,wrong_movie,1,4,start,direction_correlation,nearest_neighbour,-0.006100622137396683,,,,26.872600170701883,0.0021233242629595498,0.00047141500474327683,8
13,gaussian_score,affine,wrong_movie,1,4,start,direction_correlation,px,-0.006100622137396683,,,,2134.551468147538,0.002123325849161214,0.00047141553345592867,8
13,gaussian_score,affine,wrong_movie,1,5,endpoint,vector_correlation,nearest_neighbour,-0.010109649488390342,,,,5.885417732061531,0.002238699834194452,0.0008782082315458869,8
13,gaussian_score,affine,wrong_movie,1,5,endpoint,vector_correlation,px,-0.010109649488390342,,,,467.8536678583735,0.0022387180243801713,0.000878207905519546,8
13,gaussian_score,affine,wrong_movie,1,5,endpoint,direction_correlation,nearest_neighbour,-0.007827040603412874,,,,54.12084140763765,0.000529188929580703,0.0004104787375371232,8
13,gaussian_score,affine,wrong_movie,1,5,endpoint,direction_correlation,px,-0.007827040603412874,,,,4302.374782225093,0.000529188094045456,0.00041047879395636597,8
13,gaussian_score,affine,wrong_movie,1,5,start,vector_correlation,nearest_neighbour,-0.009814949708207194,,,,,,,8
13,gaussian_score,affine,wrong_movie,1,5,start,vector_correlation,px,-0.009814949708207194,,,,,,,8
13,gaussian_score,affine,wrong_movie,1,5,start,direction_correlation,nearest_neighbour,-0.005330686502575726,,,,,,,8
13,gaussian_score,affine,wrong_movie,1,5,start,direction_correlation,px,-0.005330686502575726,,,,,,,8
13,gaussian_score,affine,wrong_movie,1,6,endpoint,vector_correlation,nearest_neighbour,-0.014660508246657288,,,,3.516203634722349,0.009666615396542868,0.00013841947449700365,8
13,gaussian_score,affine,wrong_movie,1,6,endpoint,vector_correlation,px,-0.014660508246657288,,,,279.74172961969833,0.009666746685410033,0.0001384114209283685,8
13,gaussian_score,affine,wrong_movie,1,6,endpoint,direction_correlation,nearest_neighbour,-0.016300520738925427,,,,5.711854098733777,0.005257203703286664,0.0013403389087753858,8
13,gaussian_score,affine,wrong_movie,1,6,endpoint,direction_correlation,px,-0.016300520738925427,,,,454.4808911217455,0.005256870287787927,0.0013403760032066202,8
13,gaussian_score,affine,wrong_movie,1,6,start,vector_correlation,nearest_neighbour,-0.01615636504020506,,,,10.766887371586769,0.003256656686107811,0.001752562612246004,8
13,gaussian_score,affine,wrong_movie,1,6,start,vector_correlation,px,-0.01615636504020506,,,,856.6319506006381,0.0032566080514968847,0.0017525706844511687,8
13,gaussian_score,affine,wrong_movie,1,6,start,direction_correlation,nearest_neighbour,-0.01592031987471035,,,,11.871035423844408,0.0038818620717132163,0.0015393004391363796,8
13,gaussian_score,affine,wrong_movie,1,6,start,direction_correlation,px,-0.01592031987471035,,,,944.4865197629044,0.0038817944886989524,0.001539313190626153,8
13,gaussian_score,none,real,0,0,current,vector_correlation,nearest_neighbour,0.39687894500411747,,,6.560604716251267,23.783712844763983,0.34919012202810007,0.027356299873660606,8
13,gaussian_score,none,real,0,0,current,vector_correlation,px,0.39687894500411747,,,521.4455004986368,1890.439890610759,0.34918882435463683,0.027357190879938542,8
13,gaussian_score,none,real,0,0,current,direction_correlation,nearest_neighbour,0.3975205571850397,,,6.943631453039265,27.236014387889313,0.3595230178603989,0.023563400949889613,8
13,gaussian_score,none,real,0,0,current,direction_correlation,px,0.3975205571850397,,,551.8894862439365,2164.837320100539,0.3595220006353339,0.023564172739162115,8
13,gaussian_score,none,real,0,1,endpoint,vector_correlation,nearest_neighbour,-0.1197781208841463,,,,,,,8
13,gaussian_score,none,real,0,1,endpoint,vector_correlation,px,-0.1197781208841463,,,,,,,8
13,gaussian_score,none,real,0,1,endpoint,direction_correlation,nearest_neighbour,-0.13334819779966717,,,,,,,8
13,gaussian_score,none,real,0,1,endpoint,direction_correlation,px,-0.13334819779966717,,,,,,,8
13,gaussian_score,none,real,0,1,start,vector_correlation,nearest_neighbour,-0.12185119948308225,,,,,,,8
13,gaussian_score,none,real,0,1,start,vector_correlation,px,-0.12185119948308225,,,,,,,8
13,gaussian_score,none,real,0,1,start,direction_correlation,nearest_neighbour,-0.13496443890682117,,,,,,,8
13,gaussian_score,none,real,0,1,start,direction_correlation,px,-0.13496443890682117,,,,,,,8
13,gaussian_score,none,real,0,2,endpoint,vector_correlation,nearest_neighbour,-0.0037162513211148225,,,,,,,8
13,gaussian_score,none,real,0,2,endpoint,vector_correlation,px,-0.0037162513211148225,,,,,,,8
13,gaussian_score,none,real,0,2,endpoint,direction_correlation,nearest_neighbour,-0.012317743409196688,,,,,,,8
13,gaussian_score,none,real,0,2,endpoint,direction_correlation,px,-0.012317743409196688,,,,,,,8
