variant,fit_mode,control,horizon,movies,component_rmse_mean,component_rmse_std,vector_rmse_mean,vector_r2_mean,gain_percent_mean,movies_improved,sign_flip_p
field2p5_start,frozen_dense,real,2,6,4.554388815097393,0.5136699884235528,6.440878430631064,0.7391834048248715,3.608623457897565,5,0.0625
field2p5_start,frozen_dense,real,4,6,6.145332980165701,0.6944942714474436,8.690813245849005,0.8531346641059449,6.028262641100877,5,0.0625
field2p5_start,frozen_dense,real,6,6,7.458007591722232,0.9026625371843412,10.547215484495085,0.8849106055770185,5.69610697608383,5,0.15625
field2p5_start,refit,no_update,1,6,3.504166311529793,0.4400021001319743,4.9556395225763366,0.49987482753383133,0.0,0,1.0
field2p5_start,refit,no_update,2,6,4.725920363751878,0.5353964601933989,6.683460673113095,0.7194235414558064,0.0,0,1.0
field2p5_start,refit,no_update,4,6,6.540294724488888,0.678737196919583,9.249373501289389,0.8342795685177462,0.0,0,1.0
field2p5_start,refit,no_update,6,6,7.907653089072791,0.7336409101763481,11.18311024510824,0.8717515905144743,0.0,0,1.0
field2p5_start,refit,real,1,6,3.4968237627447265,0.38714699800981967,4.94525559050211,0.5013922961172046,0.06187477563024687,2,0.78125
field2p5_start,refit,real,2,6,4.398802468734643,0.5442242421368447,6.220846109484783,0.7568700829284358,7.000936416166739,6,0.03125
field2p5_start,refit,real,4,6,5.742501314420295,0.7289296166404651,8.121123240798505,0.8720581836909823,12.326205448722007,6,0.03125
field2p5_start,refit,real,6,6,6.80052856365225,0.8279102480841344,9.617399726022635,0.9048914788770953,14.118457197311534,6,0.03125
field2p5_start,refit,stale_time,1,6,3.5814421229661897,0.4228984228428869,5.064924023153075,0.4774688077912778,-2.2871772704970783,0,0.03125
field2p5_start,refit,stale_time,2,6,4.791063550228616,0.49574500775345015,6.775587050924699,0.7113928899701691,-1.47064243376244,1,0.0625
field2p5_start,refit,stale_time,4,6,6.103048821330954,0.6870909278736166,8.631014414951366,0.8555833545548883,6.7392454228030045,6,0.03125
field2p5_start,refit,stale_time,6,6,7.120327342446955,0.7883246428794204,10.06966349622446,0.8958297161086816,10.035352399159118,6,0.03125
field2p5_start,refit,wrong_cell,1,6,3.5504620765003474,0.40233547795102403,5.0211116212781315,0.48639330571786843,-1.4519972576290747,1,0.09375
field2p5_start,refit,wrong_cell,2,6,4.852497942109411,0.5393445310624656,6.862468401118664,0.7041960981302776,-2.703760667066406,0,0.03125
field2p5_start,refit,wrong_cell,4,6,6.743200724547667,0.6996756316825751,9.53632591845939,0.8238168771444219,-3.107712371908589,0,0.03125
field2p5_start,refit,wrong_cell,6,6,8.190980343562687,0.791362204032143,11.583795490997785,0.8623359101560713,-3.561421269462618,0,0.03125
field3_start,frozen_dense,real,1,6,3.5313320066636193,0.37709646467746005,4.994057617065887,0.4915913343383815,-0.9767577903280342,3,0.5
field3_start,frozen_dense,real,2,6,4.547657747329217,0.5138200201096962,6.431359263304056,0.7399646403089811,3.7547929236094624,5,0.0625
field3_start,frozen_dense,real,4,6,6.133586631897305,0.6890318649768787,8.674201400819483,0.8537259692122289,6.209362770981901,5,0.0625
field3_start,frozen_dense,real,6,6,7.443155962155639,0.8870057014212521,10.526212108538667,0.8854150734584435,5.881481262827013,5,0.125
field3_start,refit,no_update,1,6,3.504166311529793,0.4400021001319743,4.9556395225763366,0.49987482753383133,0.0,0,1.0
field3_start,refit,no_update,2,6,4.725920363751878,0.5353964601933989,6.683460673113095,0.7194235414558064,0.0,0,1.0
field3_start,refit,no_update,4,6,6.540294724488888,0.678737196919583,9.249373501289389,0.8342795685177462,0.0,0,1.0
field3_start,refit,no_update,6,6,7.907653089072791,0.7336409101763481,11.18311024510824,0.8717515905144743,0.0,0,1.0
