objective_name,variant,control,horizon,movies,component_rmse_mean,component_rmse_std,vector_rmse_mean,r2_mean,gain_percent_mean,movies_improved,delta_ci_low,delta_ci_high,sign_flip_two_sided_p,sign_flip_one_sided_p,holm_p
h6_guard10,active_advective,real,4,6,4.9544954883267875,0.6188367973201379,7.006714714308053,0.9048249166737322,23.66938475475304,6,1.468447199649625,1.58249976345343,0.03125,0.015625,0.0625
h6_guard10,active_advective,real,6,6,5.545008728375937,0.6526195107585593,7.841826547146439,0.9368116513094843,29.13016600075244,6,2.1499750118302683,2.3953337945158597,0.03125,0.015625,0.0625
h6_guard10,active_advective,stale_time,1,6,3.7587154655032697,0.4551509441050834,5.315626388416226,0.4248231655242137,-7.985052085060407,0,-0.3185305440569397,-0.22987246772144485,0.03125,1.0,1.0
h6_guard10,active_advective,stale_time,2,6,5.142039056268046,0.5668250999264738,7.271941371626421,0.6676461152242711,-9.6398773487645,0,-0.5157748351592728,-0.371812268398463,0.03125,1.0,1.0
h6_guard10,active_advective,stale_time,4,6,5.769778395342818,0.6542176045961154,8.159698858581086,0.8709859289463381,11.012640414221996,6,0.6639050756681518,0.766824790647821,0.03125,0.015625,0.0625
h6_guard10,active_advective,stale_time,6,6,6.27673606975288,0.6737203694385863,8.87664527728092,0.9191117814419535,19.713457552202897,6,1.4560512679880286,1.6390201754386429,0.03125,0.015625,0.0625
h6_guard10,active_advective,wrong_cell,1,6,3.864931861558238,0.5097932956139,5.465839056263554,0.3913209351286193,-10.919493382538098,0,-0.4548882045677148,-0.3094634718457701,0.03125,1.0,1.0
h6_guard10,active_advective,wrong_cell,2,6,5.08496324723469,0.5402435166032665,7.191223988408033,0.6748398484095167,-8.442431074745375,0,-0.426974649104164,-0.3563146727810666,0.03125,1.0,1.0
h6_guard10,active_advective,wrong_cell,4,6,7.005687651927655,0.7065078580103261,9.907538491105813,0.8096267211594593,-8.162393208859642,0,-0.5735351059036908,-0.47911771539674586,0.03125,1.0,1.0
h6_guard10,active_advective,wrong_cell,6,6,8.413841682074283,0.7831086451776225,11.898969018449506,0.8546182243570674,-7.748083454080707,0,-0.6587158242113209,-0.5474809973142507,0.03125,1.0,1.0
h6_guard10,forced_potential,real,1,6,3.789788290559367,0.49905379349751233,5.359569999031805,0.41419741724835335,-8.768864077185443,0,-0.37757848287934204,-0.23407023558417728,0.03125,1.0,1.0
h6_guard10,forced_potential,real,2,6,4.171155092471669,0.4923924303013841,5.8989041025350355,0.7814063452680955,11.14614309340507,6,0.49284595492279326,0.5500174446538661,0.03125,0.015625,0.0625
